,Name,Surface X,Surface Y,Latitude  ,Longitude  ,TD (ft),TD(m)
1,Ozoro BH,420796.81,170278.55,"5°32'16.3700""N","6°12'55.5200""E",260.00,79.27
2,Oben LQ BH,382039.79,215749.87,"5°57'0.0000""N","5°52'0.0000""E",540.00,164.63
3,Abraka BH,408262.73,197972.67,"5°47'19.0200""N","6°06'10.8500""E",400.00,121.95
4,Forcados BH,337864.51,147475.93,"5°19'60.0000""N","5°28'0.0000""E",500.00,152.44
5,Utorogu BH,382191.52,151245.77,"5°21'60.0000""N","5°51'60.0000""E",340.00,103.66
6,Ughelli-East BH,380319.59,162299.36,"5°28'0.0000""N","5°50'60.0000""E",230.00,70.12
7,RA Ogunu-Warri BH,369395.94,167707.03,"5°30'56.8300""N","5°45'5.5100""E",340.00,103.66
8,Eriemu-3 BH,400632.91,164191.17,"5°29'0.0000""N","6°02'0.0000""E",360.00,109.76
9,Oben RS BH,383885.29,215754.47,"5°57'0.0000""N","5°52'60.0000""E",390.00,118.90
10,Oben CS BH,387576.31,215763.82,"5°57'0.0000""N","5°55'0.0000""E",230.00,70.12
11,Sapele-west BH,359921.8,202799.18,"5°50'0.0000""N","5°40'0.0000""E",460.00,140.24
12,Asaba 2,477067.05,243397.36,"6°11'49.6000""N","6°43'32.5000""E",347.70,106.01
13,Erhobaro,406440.25,183811.07,"5°39'38.1900""N","6°05'10.3500""E",32.30,9.85
14,Kwale,444973.26,189417.24,"5°42'36.8500""N","6°26'2.8500""E",393.60,120.00
15,Edjovhe,384622.6,163860.29,"5°28'50.4985""N","5°53'19.8974""E",260.00,79.27
16,Issele-Uku,442810.38,254644.39,"6°17'60.0000""N","6°24'60.0000""E",675.70,206.01
17,Umunede,430722.5,249882.11,"6°15'26.4000""N","6°18'26.3100""E",774.00,235.98
18,Ute-Okpu,427145.52,242980.26,"6°11'42.1500""N","6°16'29.2200""E",715.00,217.99
19,Idumuje-Unor,445778.88,208090.31,"5°52'44.5000""N","6°26'31.1000""E",820.00,250.00
20,Amukpe,364041.83,207388.93,"5°52'29.1500""N","5°42'14.2500""E",452.60,137.99
21,Ewuru,412891.13,248184.55,"6°14'33.0500""N","6°08'46.1800""E",721.60,220.00
22,Orerokpe,384908.56,180650.4,"5°37'57.0900""N","5°53'30.4700""E",295.00,89.94
,,,,,,,132.17
