well,region,n_intervals,td_m,net_aquifer_m,ng_pct,mean_K,max_K,mean_T,total_T,easting,northing
Abraka,Delta Central,8,121.95,111.25,75.0,562.51,1000.0,11734.84,93878.71,408262.73,197972.67
Amukpe,Delta Central,6,137.99,131.98,83.33,333.33,700.0,8417.56,50505.37,364041.83,207388.93
Asaba-2,Delta North,11,106.01,80.16,54.55,28.64,100.0,453.46,4988.07,477067.05,243397.36
Edjovhe,Delta South,5,79.27,137.77,40.0,87.0,400.0,6711.75,33558.77,384622.6,163860.29
Eriemu-3,Delta South,5,109.76,76.2,60.0,160.4,400.0,3660.04,18300.22,400632.91,164191.17
Ewuru,Delta North,10,220.0,160.02,70.0,75.0,400.0,2251.73,22517.28,412891.13,248184.55
Forcados,Delta South,7,152.44,45.72,28.57,32.87,200.0,1167.22,8170.57,337864.51,147475.93
Idumuje-Unor,Delta North,15,250.0,197.51,40.0,80.0,200.0,2633.48,39502.25,445778.88,208090.31
Issele-Uku,Delta North,13,206.01,138.07,69.23,61.54,200.0,1467.75,19080.7,442810.38,254644.39
Kwale,Delta Central,5,120.0,131.98,80.0,460.0,1000.0,9948.67,49743.37,444973.26,189417.24
Oben CB,Delta Central,4,,51.82,75.0,150.0,400.0,3352.8,13411.22,,
Oben LQ,Delta Central,10,164.63,112.78,50.0,132.91,400.0,3831.39,38313.85,382039.79,215749.87
Oben RB,Delta Central,6,,91.44,50.0,89.17,400.0,2987.05,17922.31,,
Orerokpe,Delta Central,7,89.94,80.47,71.43,161.0,400.0,2807.73,19654.12,384908.56,180650.4
Ozoro,Delta Central,5,79.27,64.01,60.0,125.0,400.0,2270.77,11353.85,420796.81,170278.55
RA Ogunu-Warri,Delta South,8,103.66,67.06,50.0,69.0,400.0,1268.37,10146.92,369395.94,167707.03
Sapele-West,Delta Central,15,140.24,82.3,46.67,63.4,700.0,1276.3,19144.54,359921.8,202799.18
Ughelli-East,Delta South,6,70.12,42.67,50.0,89.17,400.0,2174.25,13045.51,380319.59,162299.36
Umunede,Delta North,16,235.98,128.32,50.0,39.07,200.0,1010.18,16162.83,430722.5,249882.11
Ute-Okpu,Delta North,13,217.99,178.31,69.23,250.0,1000.0,4481.74,58262.64,427145.52,242980.26
Utorogu,Delta South,11,103.66,67.06,63.64,132.18,400.0,1463.88,16102.66,382191.52,151245.77
